总记录条数:12,耗时:0.2260504秒
!!!异常2017/5/27 10:49:18:调用的目标发生了异常。
总记录条数:4,耗时:17.3251647秒
总记录条数:3,耗时:0.1073272秒
总记录条数:11,耗时:0.0270728秒
总记录条数:4,耗时:0.0270645秒
总记录条数:2,耗时:0.0280738秒
总记录条数:4,耗时:0.026112秒
总记录条数:3,耗时:0.0270728秒
总记录条数:11,耗时:0.0270862秒
总记录条数:4,耗时:0.0280296秒
总记录条数:2,耗时:0.0270736秒
总记录条数:11,耗时:0.0301227秒
总记录条数:4,耗时:0.0671775秒
总记录条数:3,耗时:0.0491307秒
总记录条数:11,耗时:0.0270716秒
总记录条数:4,耗时:0.0270728秒
总记录条数:2,耗时:0.0270732秒
总记录条数:11,耗时:0.0270748秒
总记录条数:3,耗时:20.6537225秒
总记录条数:3,耗时:0.0396054秒
总记录条数:3,耗时:0.0483402秒
总记录条数:23,耗时:0.0300697秒
